storm_id,RMSE_v,R2_v,ACC_v(%),RMSE_m,R2_m,ACC_m(%),N
5,0.1743473184918456,0.9990581951093211,96.93111601607596,0.0010894545974434728,0.9992826850302597,97.32172635881801,643
6,0.073305191533152,0.999647784722901,98.12326006836611,0.0005993702989064167,0.9998814339611521,98.91111966293997,512
8,0.2216106856184212,0.9914406640585617,90.7483320739279,0.0014922091776413211,0.9974993650722008,94.99936511267667,350
12,0.14944850485623465,0.9981190754890356,95.66303734053045,0.0006910087500411419,0.9997507356401157,98.42118918209654,592
19,0.1172959534552661,0.9991825929185024,97.14096680415003,0.0009716460068061999,0.9997143108694847,98.30976590229231,612
24,0.733541752550252,0.9759479528969296,84.49127758225707,0.005469877620210577,0.9882290490482403,89.15059865647288,468
27,1.068782677339641,0.9431296591230293,76.1524968021922,0.008676264361747482,0.9442096072525854,76.3800100033093,251
29,0.7518546993311839,0.9112986029699018,70.2172202388649,0.008520800413810993,0.975425701802512,84.3238084355339,298
33,0.6659179324564222,0.9548140970062191,78.74302397005819,0.0060244712064196435,0.982190804438903,86.65489019891257,548
35,0.2663730388065241,0.9923495628715614,91.25332227160874,0.0019296673151385315,0.9793241347546188,85.62089528437188,577
42,0.4125183207680843,0.9851060777653396,87.79593418788167,0.002769927107010457,0.9962955183553873,93.91355469551411,672
44,0.6650210339453702,0.9592597843953731,79.81579439150447,0.005413571575181894,0.9868219536900631,88.52043280024111,460
45,0.19792138357264413,0.9982286288469516,95.79123396581892,0.0015146917952852058,0.9992817028227595,97.3198933282142,379
46,0.1935648873096536,0.9967541874774177,94.30279671893278,0.001337038565345533,0.9957372876865752,93.47105497571893,542
59,0.6474190475024821,0.9794803529376375,85.6753195280476,0.004842415449973835,0.9917698162187947,90.92796396562662,435
60,0.8247164636638995,0.9259226921936736,72.7828532343529,0.007062182507194001,0.9455603819197105,76.66770091124916,497
61,0.4166462135468644,0.9891642193731875,89.59049442730009,0.002487669875175772,0.9966137432089862,94.18084474270078,298
73,0.3404162226416478,0.9945888767100797,92.64396622498371,0.0026413883726572945,0.9923095614475387,91.23048544561865,418
75,0.45674302927034477,0.9807816597792903,86.13697716199745,0.002923535890493053,0.9918998463311354,90.9999146290905,653
76,0.10943842829263746,0.9996953939311221,98.25470326626703,0.0005078921714463935,0.9988831196733136,96.65802404775336,401
82,0.20447339739868622,0.9978014523311317,95.31113268595995,0.001752898843134423,0.9992311429243864,97.22717278650609,702
88,0.22691090572882533,0.9971410600477191,94.6530943974299,0.0020561485478935056,0.9960701336762653,93.7311354110213,563
104,0.34348025714657987,0.9875301151183683,88.83313612439753,0.0025533491778255354,0.9969575253400431,94.48413682201469,445
105,0.5006032848618186,0.9575571950512255,79.39834837962267,0.0029890667696776114,0.994467050684267,92.56162026012544,689
114,1.072679201381512,0.8817049263590963,65.60594911313473,0.00791866751363367,0.9609193521977186,80.23117408637273,297
121,0.8163795195103335,0.9785861999403542,85.36654515856283,0.005803687835983316,0.9883961908700585,89.22790218689471,617
136,0.4272922648700926,0.9846873423700846,87.62556763729887,0.0026922269089695626,0.9960163439141831,93.68837890425121,241
138,0.7775172863886988,0.9578393322929877,79.466936977891,0.004919784073921939,0.9898426269479377,89.92162064037763,321
141,0.15966175771066263,0.9982245646726231,95.78640850653991,0.0011203541668532947,0.9965960954558595,94.16570094716941,704
144,0.803263059624384,0.969163718984288,82.43973775375251,0.006928088138281144,0.9909929113147524,90.50943168982974,279
