storm_id,RMSE_v,R2_v,ACC_v(%),RMSE_m,R2_m,ACC_m(%),N
5,0.1743473184918456,0.9990581951093211,99.55980654160436,0.0010894545974434728,0.9992826850302597,99.48493510855745,643
6,0.073305191533152,0.999647784722901,99.7986386597914,0.0005993702989064167,0.9998814339611521,99.74399754733581,512
8,0.2216106856184212,0.9914406640585617,99.22382485785691,0.0014922091776413211,0.9974993650722008,99.04107506076545,350
12,0.14944850485623465,0.9981190754890356,99.60717225637222,0.0006910087500411419,0.9997507356401157,99.60514437107852,592
19,0.1172959534552661,0.9991825929185024,99.69151873981099,0.0009716460068061999,0.9997143108694847,99.61343685768796,612
24,0.733541752550252,0.9759479528969296,98.19488428610168,0.005469877620210577,0.9882290490482403,97.93438321528672,468
27,1.068782677339641,0.9431296591230293,97.37280041372185,0.008676264361747482,0.9442096072525854,96.79319446316661,251
29,0.7518546993311839,0.9112986029699018,96.93783091516617,0.008520800413810993,0.975425701802512,97.21015632937021,298
33,0.6659179324564222,0.9548140970062191,98.10106932723178,0.0060244712064196435,0.982190804438903,98.37552320029884,548
35,0.2663730388065241,0.9923495628715614,99.33124134177862,0.0019296673151385315,0.9793241347546188,98.93543640673252,577
42,0.4125183207680843,0.9851060777653396,99.03910439280222,0.002769927107010457,0.9962955183553873,98.76229225844715,672
44,0.6650210339453702,0.9592597843953731,98.02832339753319,0.005413571575181894,0.9868219536900631,97.90925122632108,460
45,0.19792138357264413,0.9982286288469516,99.38963532447947,0.0015146917952852058,0.9992817028227595,99.34497139614557,379
46,0.1935648873096536,0.9967541874774177,99.43157190491996,0.001337038565345533,0.9957372876865752,99.46251302687911,542
59,0.6474190475024821,0.9794803529376375,98.33462580953761,0.004842415449973835,0.9917698162187947,97.71559368221064,435
60,0.8247164636638995,0.9259226921936736,97.87971886187113,0.007062182507194001,0.9455603819197105,97.84053937182188,497
61,0.4166462135468644,0.9891642193731875,99.14825587421339,0.002487669875175772,0.9966137432089862,98.92917638868761,298
73,0.3404162226416478,0.9945888767100797,99.21008420418738,0.0026413883726572945,0.9923095614475387,98.83706241618148,418
75,0.45674302927034477,0.9807816597792903,98.89422042313026,0.002923535890493053,0.9918998463311354,97.94629537038335,653
76,0.10943842829263746,0.9996953939311221,99.69015978527784,0.0005078921714463935,0.9988831196733136,99.50654851288095,401
82,0.20447339739868622,0.9978014523311317,99.4277712656229,0.001752898843134423,0.9992311429243864,99.46907608823528,702
88,0.22691090572882533,0.9971410600477191,99.31086832802784,0.0020561485478935056,0.9960701336762653,99.35079836538304,563
104,0.34348025714657987,0.9875301151183683,98.92003770338727,0.0025533491778255354,0.9969575253400431,98.67357842412518,445
105,0.5006032848618186,0.9575571950512255,98.75710654169458,0.0029890667696776114,0.994467050684267,97.9382759391798,689
114,1.072679201381512,0.8817049263590963,97.15409394542247,0.00791866751363367,0.9609193521977186,97.19204849297952,297
121,0.8163795195103335,0.9785861999403542,98.13439078289792,0.005803687835983316,0.9883961908700585,97.97643891140592,617
136,0.4272922648700926,0.9846873423700846,98.79754445166004,0.0026922269089695626,0.9960163439141831,98.10982107360175,241
138,0.7775172863886988,0.9578393322929877,98.1169954475588,0.004919784073921939,0.9898426269479377,97.06713672388437,321
141,0.15966175771066263,0.9982245646726231,99.59692805543902,0.0011203541668532947,0.9965960954558595,99.27433095039349,704
144,0.803263059624384,0.969163718984288,97.68188403948335,0.006928088138281144,0.9909929113147524,97.3063548373494,279
